annee_numero_de_tirage;jour_de_tirage;date_de_tirage;numéro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million
25015;VENDREDI;21/02/2025;2;22/05/2025;1;43;3;20;11;11;2;-1-3-11-20-43-;-2-11-;0;0;0;0;3;213502,4;4;10;14969,7;9;32;1457;159;745;115,2;367;1584;57,3;391;1752;36,4;4683;21878;14,5;7647;33261;10,6;18450;77813;8,5;23967;113178;7;101233;461955;5,4;247414;1088811;3,7;0;0;6;409,7;66;20,6;173;7,8;2257;1,5;3546;2,5;11818;3,6;18456;10,8;48572;2,3;369476;2,6;AC 559 3492;
25014;MARDI;18/02/2025;1;19/05/2025;26;40;5;25;14;5;7;-5-14-25-26-40-;-5-7-;0;0;0;1;1;469895,3;0;4;27455,5;7;38;900,1;118;596;105,7;432;2036;32,7;224;1171;39,9;6243;28069;8,3;5826;27683;9,4;10513;50884;9,5;29894;133047;4,4;82964;392145;4,7;148346;720876;4,1;0;0;1;1801;63;15,8;211;4,7;2862;0,8;2716;2,4;13338;2,3;19866;7,3;39096;2,1;314532;2,3;IW 657 0898;
25013;VENDREDI;14/02/2025;6;15/05/2025;38;14;36;31;4;10;3;-4-14-31-36-38-;-3-10-;0;1;78450739;1;2;442087,5;0;5;41329,2;12;45;1430,3;130;770;153,9;322;1735;72,2;278;1803;48,8;5428;28237;15,5;6444;36861;13,3;15140;84809;10,7;31325;158678;6,9;105904;572136;6;247653;1322764;4,2;1;1720;6;229,3;70;24,5;140;12,2;2619;1,6;3241;3,5;15265;3,5;26628;9,4;51943;2,7;512859;2,4;QN 143 4928;
25012;MARDI;11/02/2025;5;12/05/2025;21;3;46;36;41;6;1;-3-21-36-41-46-;-1-6-;0;0;0;1;5;113658,3;2;4;33204,7;4;30;1378,9;100;519;146,8;195;1056;76,2;198;1087;52;3222;16549;17,1;4129;21756;14,5;9343;51207;11,4;19600;94596;7,5;67784;343915;6,5;153996;805259;4,4;1;1176,3;2;470,5;53;22,1;97;12,1;1497;1,9;2022;3,8;9257;4;17228;9,9;32730;2,9;356426;2,3;MT 990 8988;
25011;VENDREDI;07/02/2025;4;08/05/2025;10;24;45;29;23;8;10;-10-23-24-29-45-;-8-10-;0;0;0;0;0;0;0;6;146483,2;8;48;1080,4;150;673;141,9;342;1634;61,8;342;1570;45,2;5109;22992;15,4;7629;35090;11,2;17560;81279;9;25489;115925;7,6;110924;508548;5,5;264731;1199016;3,7;0;0;2;1374;63;24,2;162;9,4;2554;1,4;3673;2,7;12872;3,7;18662;11,9;53461;2,3;412347;2,6;BT 538 9173;
25010;MARDI;04/02/2025;3;05/05/2025;29;43;3;39;4;5;10;-3-4-29-39-43-;-5-10-;0;0;0;0;0;0;0;1;643777,5;6;24;1582,7;89;463;151,1;208;1003;73,7;185;966;53,8;3250;16585;15,6;3983;21383;13,5;9987;49792;10,8;18217;91488;7,1;68671;341234;6;164677;792657;4,1;0;0;3;663;45;24,5;96;11,5;1618;1,7;2054;3,6;8834;3,9;15429;10,4;33345;2,7;316812;2,5;LY 186 2372;
25009;VENDREDI;31/01/2025;2;01/05/2025;30;41;49;44;22;7;2;-22-30-41-44-49-;-2-7-;0;0;0;0;1;662510,1;1;3;51613,1;6;28;1722,4;114;529;167,9;364;1514;62;225;1165;56,6;6004;25940;12,7;5569;26701;13,7;11462;57187;11,9;38036;154092;5,3;92082;430353;6;182640;892502;4,7;0;0;3;864,4;57;25,2;160;9;2814;1,2;2725;3,5;17115;2,6;33001;6,3;44586;2,6;483980;2,1;CV 402 0872;
25008;MARDI;28/01/2025;1;28/04/2025;42;41;37;49;9;9;1;-9-37-41-42-49-;-1-9-;0;0;0;0;1;474163,9;0;1;110819,9;5;20;1725,8;68;334;190,3;189;964;69,7;155;783;60,3;3026;14770;15,9;3400;17824;14,7;7796;40350;12,1;18403;85554;6,9;56553;282713;6,6;127010;631428;4,7;0;0;2;911,3;37;27,3;99;10,2;1421;1,7;1715;3,9;8725;3,6;15230;9,7;28203;2,9;300191;2,4;BE 304 1672;
25007;VENDREDI;24/01/2025;8;24/04/2025;30;2;19;49;11;3;8;-2-11-19-30-49-;-3-8-;0;1;99397573;2;9;92865,4;5;14;13952,6;10;64;950,6;323;1193;93,9;586;2564;46,2;560;2385;34,9;7962;37569;11;10765;46224;10;22536;97848;8,8;40172;191091;5,4;144174;641405;5,1;296950;1351272;3,9;0;0;4;773,4;138;12,4;260;6,6;3425;1,2;4815;2,3;17756;3;28269;8,8;65568;2,1;516928;2,4;PK 962 2825;
25006;MARDI;21/01/2025;7;21/04/2025;8;6;14;27;41;5;4;-6-8-14-27-41-;-4-5-;0;0;0;2;5;121051,8;1;6;23576,5;7;35;1258,8;204;837;96,9;346;1514;56,6;398;1748;34,4;4368;21547;13,9;7261;35112;9,5;15503;71448;8,7;22380;110536;6,8;99051;482098;4,9;204046;974545;3,9;1;1210,2;3;322,7;95;12,7;163;7,4;2058;1,4;3348;2,4;10475;3,6;16108;10,9;45532;2,1;356098;2,4;KV 091 2370;
25005;VENDREDI;17/01/2025;6;17/04/2025;24;42;15;35;8;8;6;-8-15-24-35-42-;-6-8-;0;0;0;2;9;85022,7;0;13;13756,9;13;64;870,3;255;1052;97,5;519;2312;46,9;406;2032;37,5;7052;31713;12;8980;42987;9,8;17160;84911;9,3;34781;156737;6,1;121067;576078;5,2;242853;1192259;4;0;0;6;468,1;109;14,3;239;6,5;3236;1,2;4153;2,5;16145;3;24923;9,1;56230;2,2;461750;2,4;VA 724 9628;
25004;MARDI;14/01/2025;5;14/04/2025;41;48;29;20;18;5;9;-18-20-29-41-48-;-5-9-;0;0;0;1;6;95604,5;0;5;26813,2;2;19;2197,8;92;491;156,6;280;1512;53,7;223;1095;52,1;4387;23134;12,3;5052;25394;12,5;10617;52451;11,3;25287;131241;5,4;78923;391066;5,7;167122;811530;4,4;1;1186,1;2;474,4;44;26,9;127;9,3;2062;1,4;2375;3,3;11520;3,2;19924;8,6;37567;2,6;364877;2,3;PK 626 8865;
25003;VENDREDI;10/01/2025;4;10/04/2025;36;37;27;42;12;7;6;-12-27-36-37-42-;-6-7-;0;0;0;2;4;179667;0;3;55988,1;8;31;1687,6;173;801;120,3;376;1720;59,2;268;1557;45,9;5390;24794;14,4;8257;37007;10,7;13994;69838;10,6;28883;131395;6,8;122042;539324;5,2;215753;1040834;4,3;1;1531,4;1;1225,1;81;18,9;166;9,2;2501;1,5;3833;2,6;13556;3,5;22598;9,8;56673;2,2;507078;2,1;QJ 602 0619;
25002;MARDI;07/01/2025;3;07/04/2025;41;20;35;33;47;4;12;-20-33-35-41-47-;-4-12-;0;0;0;0;1;521898,3;1;5;24395,2;3;14;2713,7;84;412;169,8;167;924;80;218;1026;50,6;2606;13140;19,7;3851;19699;14,7;9645;48369;11,1;14737;71968;9;59649;293098;7;149467;731851;4,5;0;0;2;1042,4;36;32,1;99;11,6;1399;2;1981;3,9;7701;4,7;14201;11,9;30016;3,1;334441;2,5;HE 598 4252;
25001;VENDREDI;03/01/2025;2;03/04/2025;19;35;37;3;29;1;9;-3-19-29-35-37-;-1-9-;0;0;0;1;2;316853,4;1;6;24684,6;4;29;1590,7;146;608;139,7;388;1591;56,4;322;1418;44,5;5148;22935;13,7;6516;29727;11,8;15093;68729;9,5;27255;119525;6,6;96072;439059;5,6;224141;1008934;3,9;1;1394,6;2;557,8;77;18,1;183;7,6;2373;1,4;3112;3;12597;3,4;20128;10,1;46017;2,5;398155;2,5;SI 059 9896;
24105;MARDI;31/12/2024;1;31/03/2025;33;24;19;26;28;12;8;-19-24-26-28-33-;-8-12-;0;0;0;1;4;188075,1;0;11;15984;3;32;1711,4;125;782;129;266;1606;66,4;332;1961;38,2;3761;22223;16,8;6214;36088;11,5;16236;90132;8,6;19095;118600;7,9;91289;525874;5,6;238214;1309459;3,6;1;1376,5;2;550,6;54;25,4;159;8,6;2009;1,7;3067;3;10221;4,2;16206;12,4;45874;2,4;366456;2,7;OI 368 4788;
24104;VENDREDI;27/12/2024;3;27/03/2025;45;33;12;27;22;4;8;-12-22-27-33-45-;-4-8-;0;1;41205363;1;5;129991,8;1;9;16878,4;10;60;788,5;185;854;102;491;2174;42,3;439;1923;33,6;6732;29649;10,9;8229;36455;9,9;18600;80975;8,3;33536;147394;5,5;114649;496697;5,1;253883;1098086;3,7;0;0;7;372,5;81;17,8;228;6,3;2969;1,2;3859;2,5;15260;2,9;23390;9;53013;2,2;412119;2,5;KK 662 2144;
24103;MARDI;24/12/2024;2;24/03/2025;6;24;16;23;10;12;11;-6-10-16-23-24-;-11-12-;0;0;0;1;2;306780,3;3;16;8962,4;7;32;1395,7;182;763;107,8;247;1285;67,6;707;2663;22,9;3456;16824;18,1;6951;30239;11,2;24800;97631;6,5;16984;85694;8,9;91172;409663;5,9;295994;1235083;3,1;0;0;5;501,5;103;13,5;124;11,2;1779;1,9;3427;2,7;9047;4,8;14698;13,8;46207;2,4;341728;2,9;OC 384 9703;
24102;VENDREDI;20/12/2024;1;20/03/2025;14;10;50;33;21;6;9;-10-14-21-33-50-;-6-9-;0;0;0;0;3;222689,4;2;8;19517,3;12;47;1034,7;158;792;113,1;423;1908;49,6;359;1797;37;5729;27621;12;7555;35050;10,5;16238;77174;8,9;30960;142307;5,8;109002;496007;5,3;236494;1095328;3,8;0;0;5;549,4;79;19,3;205;7,4;2756;1,3;3693;2,7;14862;3,2;24997;8,9;52653;2,3;457311;2,4;FP 855 3646;
24101;MARDI;17/12/2024;6;17/03/2025;1;21;4;29;3;7;2;-1-3-4-21-29-;-2-7-;1;1;77557137;0;1;603073,3;1;8;17618,5;14;48;914,6;242;923;87,6;554;2094;40,8;431;1749;34,3;7662;30297;9,9;9579;39664;8,4;17216;75380;8,2;37796;152149;4,9;117001;505740;4,7;222671;1002365;3,8;0;0;7;336,7;103;12,7;261;5;3438;0,9;4415;1,9;16971;2,4;26465;7,2;54578;1,9;397402;2,3;MH 801 5430;
24100;VENDREDI;13/12/2024;5;13/03/2025;25;1;42;15;50;10;4;-1-15-25-42-50-;-4-10-;0;0;0;0;1;880351;5;9;22861,3;13;46;1393,1;202;805;146,6;492;1775;70,3;571;2226;39,3;7843;26101;16,7;10446;37914;12,8;25572;94973;9,5;43352;143323;7,6;157494;556232;6,2;383582;1372521;4;0;0;7;670,5;96;27,1;259;10;3968;1,6;5264;3,3;21559;3,8;37666;10,1;78548;2,7;746151;2,5;GS 852 9356;
24099;MARDI;10/12/2024;4;10/03/2025;29;25;5;47;24;9;5;-5-24-25-29-47-;-5-9-;0;0;0;0;1;554372,4;1;3;43188,6;1;30;1345,2;134;596;124,7;398;1816;43,2;248;1118;49,3;5556;27028;10,2;6282;28922;10,6;12658;56637;10,1;28333;136199;5;96682;434741;5;194905;859369;4,1;0;0;0;0;65;54;183;6,8;2586;1,2;2981;2,8;13318;2,9;19349;9,4;46023;2,2;363805;2,5;ES 665 1000;
24098;VENDREDI;06/12/2024;3;06/03/2025;25;39;47;14;44;6;10;-14-25-39-44-47-;-6-10-;0;0;0;0;0;0;3;11;78150,9;4;39;1300,6;138;608;153,6;235;1415;69,8;335;1479;46,9;4348;20745;16,7;6223;28649;13,5;14702;69227;10,4;24112;112234;7,7;95001;426665;6,4;222339;1025701;4,3;0;0;3;978,1;75;21,7;120;13,5;2247;1,8;3056;3,5;12330;4,1;22032;10,8;47695;2,8;482184;2,4;LT 636 0771;
24097;MARDI;03/12/2024;2;03/03/2025;46;23;34;25;47;6;8;-23-25-34-46-47-;-6-8-;0;0;0;0;0;0;1;5;129039,7;3;21;1812,8;68;443;158,3;239;1158;64;186;967;53,8;3919;17740;14,6;4527;21694;13,3;9470;46965;11,5;22670;100698;6,5;70597;338553;6;153855;736296;4,5;0;0;1;2152,2;30;39,8;102;11,7;1911;1,5;2304;3,4;11053;3,4;20097;8,6;35157;2,8;374020;2,3;AE 196 0600;
24096;VENDREDI;29/11/2024;1;27/02/2025;8;18;43;17;29;5;9;-8-17-18-29-43-;-5-9-;0;0;0;0;4;171105,2;0;6;26660;8;46;1083,1;189;936;98;479;2459;39,4;465;1883;36,2;6683;32798;10,3;8626;39040;9,7;19660;81499;8,6;33348;164667;5,2;121497;545804;4,9;261622;1123038;3,8;0;0;4;692,5;92;16,7;217;7;3090;1,2;4030;2,5;15531;3,1;24221;9,2;57853;2,1;445996;2,5;CJ 789 1845;
24095;MARDI;26/11/2024;15;24/02/2025;40;25;31;11;7;12;9;-7-11-25-31-40-;-9-12-;0;1;212448937;4;15;73659,1;2;14;18445;11;55;1462,4;354;1492;99,3;568;2400;65,2;802;3462;31,7;7616;33051;16,6;13598;57385;10,6;35112;144615;7,9;38931;168815;8,2;185250;781193;5,5;474219;1953020;3,5;0;0;5;910,9;150;16,8;267;9,4;3617;1,7;6415;2,6;18620;4,2;30529;12,1;85964;2,4;685309;2,6;WM 610 1340;
24094;VENDREDI;22/11/2024;14;20/02/2025;12;10;29;11;31;11;8;-10-11-12-29-31-;-8-11-;0;0;0;3;11;151312,4;11;27;14407,6;28;93;1302,8;692;2182;102,2;1192;3916;60,2;1745;5351;30,9;17104;56732;14,6;28994;90710;10,1;71764;217100;7,9;85991;295013;7;385625;1246775;5,2;938271;2931777;3,6;2;2366,6;15;252,4;324;14,6;541;8,7;7837;1,5;13013;2,4;39422;3,7;59328;11,6;172961;2,2;1278305;2,6;GV 101 9014;F LWM 35935,F GWD 13213,F PHF 13460,F VZV 83429,F FXV 55986,F GMM 67357,F HSD 57137,F DJF 33286,F CFP 59552,F CGW 16564,F SZF 07542,F KNP 54102,F QLN 57442,F FHZ 79989,F CNP 17928,F PDH 28668,F KZG 04815,F QCD 50969,F VZW 90554,F GRF 26663,F HMR 37863,F QBR 56894,F HFP 80660,F BCR 25193,F FXW 82222,F TXV 15611,F FRK 44523,F QBS 00245,F RQN 82256,N CJK 47213,O LXQ 36780,W NPZ 41244,W DBV 47030,O FTL 28269,H QLJ 06109,T QKP 19167,V QKP 61496,J QKS 64141,M QLB 74455,V QKP 53077,T QLH 36037,J QKN 47246,X QKM 17444,V PJR 45966,Z QLD 76785,T QLB 99719,M QLF 27486,M QKW 06991,M PJQ 65682,J QLG 22716,Z QKX 82893,V QKG 63373,J QLH 15154,X QKZ 16818,V QLD 49200,T QKQ 32242,J QLD 02896,Z QLD 36160,H QKW 78778,R LTH 63481,R LTL 73909,R LTP 84743,R LTL 24947,R LTM 65259,E BCM 03824,E BBX 97858,E BBX 29007,E BCG 03652,E BFC 45227,E BCG 02594,E BBJ 26152,E BCT 01332,E BFJ 65972,E BFS 30806,E BDV 99400,E BFT 45043,E BCR 18727,P JPV 29109,P JVG 27108,P JJN 39681,P JRW 37687,P JPH 07932,P JNJ 24734,P JDZ 32757,P JGJ 36775,P JMM 00998,B WPS 07863,B WQH 59438,B WRB 94521,B WRG 36072,B ZZZ 66811,B WPJ 29140,B WPP 46396,S BCW 88348,S BDN 76665,S BDP 67456,S BDF 83348,L LRV 88951,I RKJ 86198,I RKS 16405
24093;MARDI;19/11/2024;13;17/02/2025;28;20;49;13;4;7;12;-4-13-20-28-49-;-7-12-;0;0;0;0;2;437600,4;3;11;18595,3;10;54;1179,8;289;1110;105,7;496;2142;57,9;659;2307;37,7;6562;28642;15,2;11600;45762;10,6;25900;105496;8,5;32669;141623;7,7;153207;638935;5,4;342223;1464889;3,7;0;0;4;842,9;130;14,4;243;7,7;3081;1,5;5261;2,3;15419;3,8;24283;11,2;69310;2,2;541899;2,5;HH 153 7574;
24092;VENDREDI;15/11/2024;12;13/02/2025;7;39;8;44;34;2;6;-7-8-34-39-44-;-2-6-;0;0;0;0;1;1030972,9;2;9;26772,8;15;51;1471,6;158;821;168,3;478;2331;62,6;357;1870;54,9;8960;38936;13,1;9391;45700;12,5;20192;100728;10,5;50428;215347;5,9;160103;723305;5,6;344042;1612654;4;0;0;4;977,2;72;30,1;211;10,2;3909;1,3;4306;3,3;21759;3,1;35141;9;72861;2,4;642356;2,4;DS 412 3521;
24091;MARDI;12/11/2024;11;10/02/2025;11;12;50;10;22;10;1;-10-11-12-22-50-;-1-10-;0;0;0;0;3;256306,6;0;12;14975,7;10;41;1365,2;196;910;113,3;397;1827;59,6;533;2292;33,4;5525;24670;15,5;9048;39940;10,6;22955;98242;8;26399;119027;8;125041;545032;5,5;322931;1394060;3,5;0;0;6;477,2;86;18,4;185;8,5;2509;1,5;3987;2,6;12413;4;18180;12,7;56655;2,3;402520;2,8;TN 647 7615;
